combo_index,trend_label,range_ratio,variance_ratio,variogram_type,residual_seed,residual_range_m,folder,actual_trend_to_total_var,f_regular,nugget
84,Gaussian Random Field - 1,0.15,0.4,Spherical,1384,150.0,GS_experiment_datasets/0084_Gaussian_Random_Field___1_rr0.15_vr0.4_fr0.25_Spherical,0.40021085463215067,0.25,0
85,Gaussian Random Field - 1,0.15,0.4,Spherical,1385,150.0,GS_experiment_datasets/0085_Gaussian_Random_Field___1_rr0.15_vr0.4_fr0.5_Spherical,0.40028773529797124,0.5,0
86,Gaussian Random Field - 1,0.15,0.4,Spherical,1386,150.0,GS_experiment_datasets/0086_Gaussian_Random_Field___1_rr0.15_vr0.4_fr1_Spherical,0.4010298688283679,1.0,0
87,Gaussian Random Field - 1,0.15,0.5,Spherical,1387,150.0,GS_experiment_datasets/0087_Gaussian_Random_Field___1_rr0.15_vr0.5_fr0.25_Spherical,0.5069937143134527,0.25,0
88,Gaussian Random Field - 1,0.15,0.5,Spherical,1388,150.0,GS_experiment_datasets/0088_Gaussian_Random_Field___1_rr0.15_vr0.5_fr0.5_Spherical,0.5024957574966031,0.5,0
89,Gaussian Random Field - 1,0.15,0.5,Spherical,1389,150.0,GS_experiment_datasets/0089_Gaussian_Random_Field___1_rr0.15_vr0.5_fr1_Spherical,0.5037755752010846,1.0,0
90,Gaussian Random Field - 1,0.15,0.6,Spherical,1390,150.0,GS_experiment_datasets/0090_Gaussian_Random_Field___1_rr0.15_vr0.6_fr0.25_Spherical,0.6073518243577328,0.25,0
91,Gaussian Random Field - 1,0.15,0.6,Spherical,1391,150.0,GS_experiment_datasets/0091_Gaussian_Random_Field___1_rr0.15_vr0.6_fr0.5_Spherical,0.6007489459281142,0.5,0
92,Gaussian Random Field - 1,0.15,0.6,Spherical,1392,150.0,GS_experiment_datasets/0092_Gaussian_Random_Field___1_rr0.15_vr0.6_fr1_Spherical,0.6108233550161297,1.0,0
93,Gaussian Random Field - 1,0.15,0.7,Spherical,1393,150.0,GS_experiment_datasets/0093_Gaussian_Random_Field___1_rr0.15_vr0.7_fr0.25_Spherical,0.7016360366416459,0.25,0
94,Gaussian Random Field - 1,0.15,0.7,Spherical,1394,150.0,GS_experiment_datasets/0094_Gaussian_Random_Field___1_rr0.15_vr0.7_fr0.5_Spherical,0.7043601638849796,0.5,0
95,Gaussian Random Field - 1,0.15,0.7,Spherical,1395,150.0,GS_experiment_datasets/0095_Gaussian_Random_Field___1_rr0.15_vr0.7_fr1_Spherical,0.7009516233365544,1.0,0
96,Gaussian Random Field - 1,0.2,0.4,Spherical,1396,200.0,GS_experiment_datasets/0096_Gaussian_Random_Field___1_rr0.2_vr0.4_fr0.25_Spherical,0.4056243107405163,0.25,0
97,Gaussian Random Field - 1,0.2,0.4,Spherical,1397,200.0,GS_experiment_datasets/0097_Gaussian_Random_Field___1_rr0.2_vr0.4_fr0.5_Spherical,0.4002210838312539,0.5,0
98,Gaussian Random Field - 1,0.2,0.4,Spherical,1398,200.0,GS_experiment_datasets/0098_Gaussian_Random_Field___1_rr0.2_vr0.4_fr1_Spherical,0.4006951172195821,1.0,0
99,Gaussian Random Field - 1,0.2,0.5,Spherical,1399,200.0,GS_experiment_datasets/0099_Gaussian_Random_Field___1_rr0.2_vr0.5_fr0.25_Spherical,0.5020740630752238,0.25,0
100,Gaussian Random Field - 1,0.2,0.5,Spherical,1400,200.0,GS_experiment_datasets/0100_Gaussian_Random_Field___1_rr0.2_vr0.5_fr0.5_Spherical,0.5001992784233942,0.5,0
101,Gaussian Random Field - 1,0.2,0.5,Spherical,1401,200.0,GS_experiment_datasets/0101_Gaussian_Random_Field___1_rr0.2_vr0.5_fr1_Spherical,0.5008455180992066,1.0,0
102,Gaussian Random Field - 1,0.2,0.6,Spherical,1402,200.0,GS_experiment_datasets/0102_Gaussian_Random_Field___1_rr0.2_vr0.6_fr0.25_Spherical,0.6061582694666713,0.25,0
103,Gaussian Random Field - 1,0.2,0.6,Spherical,1403,200.0,GS_experiment_datasets/0103_Gaussian_Random_Field___1_rr0.2_vr0.6_fr0.5_Spherical,0.6005929400761363,0.5,0
104,Gaussian Random Field - 1,0.2,0.6,Spherical,1404,200.0,GS_experiment_datasets/0104_Gaussian_Random_Field___1_rr0.2_vr0.6_fr1_Spherical,0.6063508709030356,1.0,0
105,Gaussian Random Field - 1,0.2,0.7,Spherical,1405,200.0,GS_experiment_datasets/0105_Gaussian_Random_Field___1_rr0.2_vr0.7_fr0.25_Spherical,0.7001374066579726,0.25,0
